id	V-score	VL-score	db	name
K22918	10.0	3.715418323	KEGG	typhoid toxin secretion A
K04562	10.0	3.54863506	KEGG	flagellar biosynthesis protein FlhG
K06386	10.0	3.531478917	KEGG	stage II sporulation protein Q
K02450	10.0	3.505828034	KEGG	general secretion pathway protein A
K06401	10.0	3.380934463	KEGG	stage IV sporulation protein FA
K06267	10.0	3.32776749	KEGG	hyaluronan-mediated motility receptor
K12536	10.0	3.314077992	KEGG	ATP-binding cassette, subfamily C, type I secretion system permease/ATPase
K25152	10.0	3.268577972	KEGG	gliding motility-associated transport system ATP-binding protein
K27086	10.0	3.25358029	KEGG	ESX secretion system protein EccC
K15421	10.0	3.252610341	KEGG	secretion-regulating guanine nucleotide exchange factor
K03704	10.0	3.225825991	KEGG	cold shock protein
K07331	10.0	3.219060332	KEGG	archaeal flagellar protein FlaH
K12771	10.0	3.211921084	KEGG	sporulation-specific protein 1 [EC:2.7.11.1]
K11904	10.0	3.18610838	KEGG	type VI secretion system secreted protein VgrG
K11907	10.0	3.18582536	KEGG	type VI secretion system protein VasG
K12537	10.0	3.154423973	KEGG	membrane fusion protein, type I secretion system
K11889	10.0	3.14332713	KEGG	type VI secretion system protein ImpN [EC:2.7.11.1]
K19336	10.0	3.100370545	KEGG	cyclic-di-GMP-binding biofilm dispersal mediator protein
K08293	10.0	3.043362278	KEGG	sporulation-specific mitogen-activated protein kinase SMK1 [EC:2.7.11.24]
K06099	9.35	2.970811611	KEGG	cold shock domain protein A
K27084	9.21	2.96425963	KEGG	ESX secretion system protein EccA
K06348	8.82	2.945468585	KEGG	sporulation inhibitor KapD
K03283	8.79	2.943988875	KEGG	heat shock 70kDa protein 1/6/8
K26598	8.63	2.936010796	KEGG	heat shock 70kDa protein 2
K09489	8.58	2.933487288	KEGG	heat shock 70kDa protein 4
K09485	8.4	2.924279286	KEGG	heat shock protein 110kDa
K03205	8.05	2.90579588	KEGG	type IV secretion system protein VirD4 [EC:7.4.2.8]
K06413	7.02	2.846337112	KEGG	stage V sporulation protein K
K06417	7.01	2.845718018	KEGG	stage VI sporulation protein D
K02456	6.13	2.787460475	KEGG	general secretion pathway protein G
K06412	5.75	2.759667845	KEGG	stage V sporulation protein G
K06416	5.4	2.73239376	KEGG	stage V sporulation protein S
K02453	5.07	2.705007959	KEGG	general secretion pathway protein D
K21218	5.01	2.699837726	KEGG	sodium-type flagellar protein MotY
K03219	4.83	2.683947131	KEGG	type III secretion protein C
K03199	4.79	2.680335513	KEGG	type IV secretion system protein VirB4 [EC:7.4.2.8]
K03810	4.26	2.629409599	KEGG	virulence factor
K20530	4.18	2.621176282	KEGG	type IV secretion system protein TrbE [EC:7.4.2.8]
K10859	4.12	2.614897216	KEGG	DNA oxidative demethylase [EC:1.14.11.33]
K07804	3.4	2.531478917	KEGG	putatice virulence related protein PagC
