gene_id,gene_nr,tagm_location,tagm_location,,,
TGME49_292020,292020,micronemes,micronemes,,,
TGME49_306060,306060,rhoptries 1,rhoptries 1,,,
TGME49_253750,253750,nucleus - chromatin,nucleus - chromatin,,,
TGME49_264660,264660,dense granules,dense granules,,,
TGME49_311720,311720,ER 2,ER 2,,,
TGME49_294800,294800,unknown,unknown,,,
TGME49_269885,269885,rhoptries 2,rhoptries 2,,,
TGME49_244560,244560,ER 2,ER 2,,,
TGME49_266960,266960,tubulin cytoskeleton,tubulin cytoskeleton,,,
TGME49_298610,298610,nucleus - chromatin,nucleus - chromatin,,,
TGME49_206510,206510,micronemes,micronemes,,,
TGME49_311470,311470,rhoptries 1,rhoptries 1,,,
TGME49_204130,204130,micronemes,micronemes,,,
TGME49_221620,221620,tubulin cytoskeleton,tubulin cytoskeleton,,,
TGME49_311230,311230,IMC,IMC,,,
TGME49_312630,312630,unknown,cytosol,,,
TGME49_233460,233460,PM - peripheral 1,PM - peripheral 1,,,
TGME49_306660,306660,nucleus - chromatin,nucleus - chromatin,,,
TGME49_273760,273760,cytosol,cytosol,,,
TGME49_235470,235470,IMC,IMC,,,
TGME49_226960,226960,cytosol,cytosol,,,
TGME49_208370,208370,unknown,IMC,,,
TGME49_251780,251780,mitochondrion - soluble,mitochondrion - soluble,,,
TGME49_286580,286580,IMC,IMC,,,
TGME49_223920,223920,rhoptries 1,rhoptries 1,,,
TGME49_228170,228170,dense granules,dense granules,,,
TGME49_217680,217680,dense granules,dense granules,,,
TGME49_269180,269180,nucleus - non-chromatin,nucleus - non-chromatin,,,
TGME49_221320,221320,apicoplast,apicoplast,,,
TGME49_310010,310010,rhoptries 1,rhoptries 1,,,
TGME49_313270,313270,nucleus - chromatin,nucleus - chromatin,,,
TGME49_290160,290160,Golgi,Golgi,,,
TGME49_205470,205470,unknown,cytosol,,,
TGME49_254570,254570,nucleus - non-chromatin,nucleus - non-chromatin,,,
TGME49_289690,289690,cytosol,cytosol,,,
TGME49_279420,279420,rhoptries 1,rhoptries 1,,,
TGME49_254940,254940,nucleus - chromatin,nucleus - chromatin,,,
TGME49_297960,297960,rhoptries 1,rhoptries 1,,,
TGME49_291890,291890,micronemes,micronemes,,,
TGME49_319560,319560,micronemes,micronemes,,,
TGME49_261950,261950,mitochondrion - membranes,mitochondrion - membranes,,,
TGME49_291180,291180,nucleus - chromatin,nucleus - chromatin,,,
TGME49_288380,288380,cytosol,cytosol,,,
TGME49_211680,211680,ER 2,ER 2,,,
TGME49_204050,204050,micronemes,micronemes,,,
TGME49_290950,290950,unknown,cytosol,,,
TGME49_208030,208030,micronemes,micronemes,,,
TGME49_243930,243930,micronemes,micronemes,,,
TGME49_216670,216670,nucleus - non-chromatin,nucleus - non-chromatin,,,
TGME49_275650,275650,nucleus - non-chromatin,nucleus - non-chromatin,,,
TGME49_209030,209030,cytosol,cytosol,,,
TGME49_231640,231640,IMC,IMC,,,
TGME49_201780,201780,micronemes,micronemes,,,
TGME49_300100,300100,rhoptries 1,rhoptries 1,,,
TGME49_216620,216620,PM - integral,Golgi,,,
TGME49_305340,305340,nucleus - chromatin,nucleus - chromatin,,,
TGME49_308810,308810,rhoptries 2,rhoptries 2,,,
TGME49_263180,263180,PM - peripheral 1,PM - peripheral 1,,,
TGME49_294330,294330,micronemes,micronemes,,,
TGME49_318440,318440,nucleus - non-chromatin,nucleus - non-chromatin,,,
